Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
BLYTB1,Blyth 66kV,Q6,Q,244.071,-4.151,-4.079689483,0.21,26.025,94.758,0,43.387,0,0.16,N/A for summer
BLYTH132,Blyth 132kV,Q6,Q,18.797,-0.314,-0.301929434,0.06,33.676,106.956,0.035,0,0,0.046,N/A for summer
BOAG_P,Boat of Garten,T1,T,27.396,-10.007,-10.76575468,0.021,2.658,0.034,9.96,0.133,0,0.016,N/A for summer
BOLN_1,Bolney,B1,B,422.138,41.371,-107.3203202,44.557,111.528,0.261,0,66.404,15.445,0.423,N/A for summer
BONN,Bonnybridge,S5,S,10.998,8.342,1.712734572,19.932,3.936,14.33,0.87,21.729,6.985,0.024,N/A for summer
BOTW_1,Botley Wood,B2,B,97.082,21.43,2.436014517,0.135,56.523,0,0,40.201,0,0.102,N/A for summer
BRAC_P,Braco West,T4,T,16.179,2.024,0.149840346,0.054,6.706,0.579,5.34,0.22,0,0.041,N/A for summer
BRAW_1,Bradford West,P1,P,189.577,54.783,-100.4993463,0.246,35.459,23.118,1.318,33.494,0,0.187,N/A for summer
BRAP,Braehead Park,S6,S,22.787,-0.015,-1.139968726,0.016,1.97,0,0,0,0,0.012,N/A for summer
BRAI_1,Braintree,J8,J,135.301,-34.253,-39.31432236,5.204,41.236,0.125,0,6.805,1.755,0.155,N/A for summer
BRFO_1,Bramford,J5,J,330.123,-30.204,-43.98378384,71.062,349.147,55.312,0,314.709,24.572,0.807,N/A for summer
BRLE_1,Bramley,B4,B,232.157,20.163,-74.62776082,1.248,123.879,0.556,0.124,49.31,0.351,0.189,N/A for summer
BRED_1,Bredbury,N2,N,145.841,112.649,-50.36501787,0.162,23.296,0.005,0.173,76.06,0,0.123,N/A for summer
BRID_P,Bridge of Dun,T4,T,16.212,7.126,5.831796169,0.041,5.051,10.776,0.17,1.272,0,0.031,N/A for summer
BRWA1,Bridgewater,E7,E,200.574,-10.991,-10.991,0.456,203.612,2.308,0.099,29.038,0,0.346,N/A for summer
BRIM_1,Brimsdown,A3,A,154.526,22.873,-47.08070629,0.1,17.402,0,0,32.194,0,0.076,N/A for summer
BROA_P,Broadford,T1,T,6.998,0.473,0.03986088,0.009,1.169,10.482,3.169,0.001,0,0.007,N/A for summer
BROR_P,Brora,T5,T,4.284,0.085,-0.134528639,0.007,0.911,0.011,0.342,0,0,0.006,N/A for summer
BROX,Broxburn,S6,S,38.219,5.842,2.637069494,20.019,2.406,0,0,0.508,7.021,0.015,N/A for summer
BUMU_P,Burghmuir,T4,T,17.307,5.008,3.022831972,1.398,4.56,0.161,0.959,0,0.48,0.021,N/A for summer
BURM_1,Burwell Main,J7,J,268.259,13.489,-4.90762157,5.37,280.55,30.964,0,33.457,1.755,0.282,N/A for summer
BUSH_1,Bushbury,L2,L,68.27,5.552,-16.29606319,0.162,38.779,5.631,0.003,114.465,0,0.123,N/A for summer
BUST_1,Bustleholme,L3,L,133.962,38.684,-115.1637423,0.118,14.668,0,0,8.456,0,0.09,N/A for summer
CAIF_P,Cairnford,T2,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
CAMB_01,Camblesforth,P4,P,20.882,-3.686,-8.751877717,0,0,87.63,0,15.376,0,0,N/A for summer
CBNK_H,Canal Bank,A7,A,23.504,0.201,-5.291475479,0,0,0,0,0,0,0,N/A for summer
CANTN1,Canterbury,C7,C,191.904,-1.244,-14.07351979,0.177,120.03,139.58,0.004,126.892,0,0.135,N/A for summer
CAPEA1,Capenhurst,N3,N,137.475,12.913,-22.49036348,20.111,18.236,0.006,0,140.405,7.021,0.084,N/A for summer
CARE_1,Cardiff East,H2,H,88.86,-21.074,-32.48706281,0.116,28.126,2.739,0,57.194,0,0.088,N/A for summer
CATY,Carntyne,S6,S,12.542,13.342,11.36422115,0.002,0.243,0,0,1.6,0,0.001,N/A for summer
CAAD_P,Carradale,T3,T,20.524,3.267,1.266045347,0.012,1.432,7.693,1.47,0,0,0.009,N/A for summer
CARR_1,Carrington,N2,N,161.414,32.419,-60.30338118,0.08,11.427,0,0.792,111.281,0,0.061,N/A for summer
CAFA,Carsfad,S6,S,0,0,-0.010315035,0,0,0,0,0,0,0,N/A for summer
CASS_P,Cassley,T5,T,1.425,0.739,0.484409647,0,0,0,4.323,0,0,0,N/A for summer
CEAN_P,Ceannacroc,T1,T,0.01,0.177,0.177,0,0,0,1.9,0,0,0,N/A for summer
CELL_1,Cellarhead,L5,L,304.56,-51.776,-69.27855194,33.17,86.751,3.425,0.022,42.777,11.472,0.372,N/A for summer
CHAP,Chapelcross,S6,S,0.214,-0.069,-10.58235394,0.04,5.003,26.806,0.628,1.504,0,0.031,N/A for summer
CHAR_P,Charleston,T4,T,12.617,-0.236,-0.781996691,0,0,5.345,1.43,9.5,0,0,N/A for summer
CHAS,Charlotte Street,S6,S,41.828,-0.037,-2.848923945,0.009,1.096,0,0,0,0,0.007,N/A for summer
CHSI_1,Chessington,A8,A,121.49,28.503,-15.01518342,0.091,18.989,0,0,30.182,0,0.069,N/A for summer
CHTE_1,Chesterfield,P3,P,276.07,-14.278,-38.55577262,39.716,244.571,30.95,0.006,179.325,13.755,0.407,N/A for summer
CHIC_1,Chickerell,E1,E,72.632,0.288,-2.73807527,0.121,44.356,0.676,0.042,2.437,0,0.092,N/A for summer
CITR_1,City Road,A7,A,414.428,168.203,-12.62345702,0.008,0.966,0,0,31.2,0,0.006,N/A for summer
CLAC_P,Clachan,T3,T,9.048,5.164,5.164,0.002,0.232,0,14.05,0,0,0.001,N/A for summer
CLT03,Clacton,J5,J,35.349,53.655,1.990360386,0,0,0,0,0,0,0,N/A for summer
CLAY_P,Clayhills,T2,T,14.06,2.445,0.368323218,0.01,1.2,0.006,0,3.041,0,0.007,N/A for summer
CLYM,Clyde’s Mill,S6,S,47.009,-4.485,-13.04789977,0,0,0,0,11.2,0,0,N/A for summer
COAT,Coatbridge,S6,S,40.336,-1.321,-5.085416618,0.034,4.241,2.59,0,0,0,0.026,N/A for summer
COCK,Cockenzie,S6,S,33.64,-4.164,-8.150120245,0.041,5.072,0.768,0.038,1.501,0,0.031,N/A for summer
CONQA1,Connah's Quay,M5,M,213.312,0,0,0.232,122.452,170.162,0.229,81.383,0,0.176,N/A for summer
COUA_P,Coupar Angus,T4,T,11.775,-3.204,-4.21035715,0.038,4.685,7.6,2.213,0.537,0,0.029,N/A for summer
COVE_1,Coventry,L3,L,249.812,-15.289,-41.2543067,0.334,56.369,91.155,0,69.205,0,0.254,N/A for summer
COWL_1,Cowley,D6,D,319.197,-15.922,-93.35220564,0.438,307.379,0.057,1.123,48.223,0.008,0.318,N/A for summer
COYL,Coylton,S6,S,68.493,-24.097,-25.85305498,0.035,4.328,39.628,2.217,5.232,0,0.027,N/A for summer
CRAI_P,Craigiebuckler,T2,T,17.538,-6.418,-6.567888961,0.003,0.312,1.089,0,0.001,0,0.002,N/A for summer
CREB_1,Creyke Beck,P8,P,269.482,10.129,-24.65807612,50.383,82.185,156.828,0,177.563,17.516,0.367,N/A for summer
CUMB,Cumbernauld,S5,S,33.226,-1.649,-6.50754229,0.025,3.146,4.016,0,46,0,0.019,N/A for summer
CUPA,Cupar,S5,S,32.681,-0.367,-0.84817046,0.065,13.066,5.827,0,5.058,0,0.05,N/A for summer
CURR,Currie,S6,S,7.265,-0.399,-0.399,0.001,0.086,0,0,0,0,0.001,N/A for summer
DALL_P,Dallas,T1,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
DALM3,Dalmarnock,S6,S,34.521,-2.751,-5.338215241,0.021,2.551,0,0,17.6,0,0.016,N/A for summer
DEVM,Devol Moor,S6,S,21.982,-7.574,-9.001005962,0.012,1.432,25.818,0.026,20,0,0.009,N/A for summer
DEVO,Devonside,S5,S,41.558,7.256,-0.724163924,0.034,13.874,70.979,1.094,1.203,0,0.026,N/A for summer
DEWP,Dewar Place,S6,S,48.945,7.882,3.955784333,0.003,0.419,0,0,0,0,0.003,N/A for summer
DOUN_P,Dounreay,T5,T,3.391,-0.687,-1.130144496,0.011,1.421,11.3,0,0.291,0,0.009,N/A for summer
DRAK_1,Drakelow,L2,L,104.368,30.836,0.299931809,10.191,123.085,1.64,0.08,38.935,3.51,0.145,N/A for summer
DRAX_1,Drax,P4,P,58.611,-3.141,-6.539030083,0.047,5.862,36.168,0.36,77.534,0,0.036,N/A for summer
DRUM,Drumchapel,S5,S,37.841,12.597,0.383028713,0.013,1.555,0,0,0,0,0.01,N/A for summer
DRCR,Drumcross,S5,S,24.963,-10.487,-12.4113011,29.9,0,0,0,0,10.496,0,N/A for summer
DUDH_P,Dudhope,T4,T,17.248,1.763,-0.571138591,0.026,3.247,0.168,0,0,0,0.02,N/A for summer
DUNB,Dunbar,S6,S,0,0,-7.106649958,0,0,0,0,0,0,0,N/A for summer
DUBE_P,Dunbeath,T5,T,0.064,1.726,0.074494182,0,0,0,0,0,0,0,N/A for summer
DUNF,Dunfermline,S5,S,20.716,1.626,0.207859137,0.017,2.139,1.032,0,7.7,0,0.013,N/A for summer
DUNO_P,Dunoon,S5,S,8.894,0.178,0.178,0.015,1.846,0.098,9.015,0,0,0.011,N/A for summer
DUGR_P,Dunvegan,T1,T,0.098,0.345,0.002588334,0.001,0.164,0.079,0,0,0,0.001,N/A for summer
DYCE_P,Dyce,T2,T,15.934,2.502,0.11122452,0.041,5.132,20.748,0.041,1.906,0,0.031,N/A for summer
EALI_6,Ealing,A7,A,105.209,6.107,-17.45460456,0.041,5.1,0.112,0,3.296,0,0.031,N/A for summer
EAST,Earlstoun,S6,S,0,6.184,6.184,0,0,0,1.2,0,0,0,N/A for summer
ECLA_1,East Claydon,D4,D,209.338,54.588,6.551984109,5.283,133.812,0.724,0,93.868,1.755,0.215,N/A for summer
ECLA_H,East Claydon,D4,D,0,0,0,0,0,0,0,0,0,0,N/A for summer
EKIL,East Kilbride,S6,S,36.491,-4.958,-9.998833641,0.045,5.617,0.26,0.662,0.001,0,0.034,N/A for summer
EKIS,East Kilbride South,S6,S,62.795,11.391,2.158489611,0,0,75.9,0,6.2,0,0,N/A for summer
EERH,Easterhouse,S6,S,38.355,-2.031,-8.193620393,0.037,4.617,0.024,0,0,0,0.028,N/A for summer
EASO_1,Eaton Socon,J4,J,216.158,8.371,-4.276061072,0.317,292.867,56.515,0.049,20.511,0,0.241,N/A for summer
ECCL,Eccles,S6,S,30.205,5.363,3.35411122,0.066,8.233,30.245,0,0.095,0,0.05,N/A for summer
ELDE,Elderslie,S6,S,16.13,3.216,0.560306566,0.021,2.605,0,0,0,0,0.016,N/A for summer
ELGI_P,Elgin,T1,T,19.615,3.173,-0.015631627,0.057,8.31,3.475,0.056,1.843,0,0.043,N/A for summer
ELLA_1,Elland,P1,P,155.514,49.312,-24.3532101,0.243,30.134,41.688,0.099,52.246,0,0.185,N/A for summer
ELST_1,Elstree,A6,A,151.091,35.482,1.252379171,0.13,21.068,0.05,0.279,111.243,0,0.099,N/A for summer
ENDE_1,Enderby,L8,L,248.674,65.116,-24.06757299,60.395,110.783,2.881,0,10.298,21.062,0.3,N/A for summer
ERSK,Erskine,S6,S,18.112,-4.112,-4.953159522,0.008,0.991,0,0,0,0,0.006,N/A for summer
EXET1,Exeter,F6,F,173.781,-8.858,-23.75844503,1.537,168.583,1.331,0.38,39.909,0.351,0.408,N/A for summer
FASN_P,Fasnakyle,T1,T,9.746,-0.434,-0.434,0,0,2.37,1.35,0,0,0,N/A for summer
FAWL_1,Fawley,B2,B,151.505,45.335,-8.413012144,0.189,104.395,0.008,4.75,3.1,0,0.143,N/A for summer
FECK_6,Feckenham,L3,L,185.097,49.202,2.877544463,5.655,277.059,0.737,0.425,364.771,1.818,0.361,N/A for summer
FERRA2,Ferrybridge A,P5,P,48.739,9.335,1.013907219,0.068,18.4,1.001,0,20.359,0,0.051,N/A for summer
FERRB1,Ferrybridge B,P5,P,0,4.138,-0.00012253,2.762,58.344,7.302,0.831,5.2,0.842,0.275,N/A for summer
FERRB_M,Ferrybridge B,P6,P,53.187,-10.018,-10.018,0,0,9.7,0,264.32,0,0,N/A for summer
FETT_P,Fetteresso,T2,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
FIDD_P,Fiddes,T2,T,30.246,4.825,4.780678614,0.032,4.002,34.624,0.013,0.211,0,0.025,N/A for summer
FIDF_1,Fiddlers Ferry,N1,N,120.953,0.937,-17.10518693,0.231,36.184,0.561,0.095,299.053,0,0.176,N/A for summer
FINN,Finnieston,S5,S,32.948,-4.538,-7.576996562,0,0,0,0,0,0,0,N/A for summer
FLEE_1,Fleet,B3,B,407.629,190.552,103.1672068,5.31,131.374,20.03,14.548,43.852,1.667,0.426,N/A for summer
FAUG_P,Fort Augustus,T1,T,11.29,3.699,3.075238485,0.004,0.463,0.016,19.379,0,0,0.003,N/A for summer
FWIL_P,Fort William,T1,T,57.515,17.532,15.92241599,0.01,1.231,0.405,30.618,0.333,0,0.008,N/A for summer
FOUR_1,Fourstones,Q8,Q,13.712,-7.935,-7.980457943,0.004,0.444,91.028,0,1.36,0,0.003,N/A for summer
FRAS_P,Fraserburgh,T2,T,8.115,3.945,1.866205679,1,1.04,1.23,0,0,0.351,0,N/A for summer
FROD_1,Frodsham,N3,N,159.415,9.861,-3.106185162,20.245,83.11,58.041,0,300.469,7.021,0.186,N/A for summer
GALA,Galashiels,S6,S,49.589,4.794,0.467040272,0.046,5.737,18.09,0.491,2.777,0,0.035,N/A for summer
GIFF,Giffnock,S6,S,30.555,-10.923,-17.44672359,0.012,1.505,4.515,0,0,0,0.009,N/A for summer
GLEF_P,Glenfarclas,T1,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
GLLE,Glenlee,S6,S,0,0,-0.002359293,0,0,0,38,0,0,0,N/A for summer
GLLU,Glenluce,S6,S,45.962,3.753,0.111938671,0.027,3.325,81.86,0.27,2.192,0,0.02,N/A for summer
GLNI,Glenniston,S5,S,7.343,-232.63,-233.9440588,0.015,1.83,34.804,0,0,0,0.011,N/A for summer
GLRO,Glenrothes,S5,S,25.567,2.931,-1.708041771,0.02,2.458,0.387,0.943,0,0,0.015,N/A for summer
GORG,Gorgie,S6,S,23.763,3.704,2.849947018,0.004,0.483,0,0,0.737,0,0.003,N/A for summer
GOVA,Govan,S6,S,27.383,4.137,2.194725613,0.015,1.872,0.032,0,0.001,0,0.011,N/A for summer
GREE_H,Greenford,A7,A,19.079,1.154,-4.171702489,0,0,0,0,0,0,0,N/A for summer
GREN_1,Grendon,J6,J,399.63,-41.358,-50.45614816,1.684,309.989,108.218,0.064,67.341,0.351,0.52,N/A for summer
GRIW_1,Grimsby West,P7,P,150.177,1.726,-4.082350875,0.177,31.935,27.652,0,188.625,0,0.134,N/A for summer
GRUB_P,Grudie Bridge,T1,T,15.132,-0.02,-0.02,0.007,0.844,0.609,32.435,0,0,0.005,N/A for summer
HACK_1,Hackney 132kV,A1,A,87.679,15.445,-2.916452492,0.064,7.894,0,0,1.682,0,0.048,N/A for summer
HACK_6,Hackney 66kV,A1,A,71.026,18.53,-1.738200483,0,0,0,0,8.8,0,0,N/A for summer
HAGR,Haggs Road,S6,S,23.837,-0.454,-2.886903016,0.008,1.026,0,0,0,0,0.006,N/A for summer
HAMHC1,Hams Hall,L3,L,204.499,91.648,52.88364019,50.208,48.897,0.175,0,11.539,17.551,0.158,N/A for summer
HARK_1,Harker,Q8,Q,232.733,-17.902,-17.96342969,20.733,99.314,213.718,10.769,133.604,7.179,0.215,N/A for summer
HARM_6,Hart Moor,Q4,Q,46.792,-6.313,-14.04161847,0.069,18.535,45.24,0,52.651,0,0.053,N/A for summer
HAWI,Hawick,S6,S,28.068,9.608,6.250463282,0.02,2.504,16.244,0.017,0.296,0,0.015,N/A for summer
HAWP_6,Hawthorn Pit,Q4,Q,50.835,-3.152,-9.576498938,0.163,28.255,20.948,0,3.904,0,0.124,N/A for summer
HELE,Helensburgh,S5,S,13.861,-3.485,-4.503232608,0.011,1.409,0,0,0,0,0.009,N/A for summer
HEYS_1,Heysham (NGET),R5,R,27.093,-19.599,-19.599,0.082,26.859,26.437,0.395,14.98,0,0.062,N/A for summer
HEYS1,Heysham (Barrow WF),R5,R,28.42,-20.447,-20.447,0,0,0,0,0,0,0,N/A for summer
HUER,Hunterston Farm,S6,S,1.537,12.834,11.13410241,0,0,0,0,0,0,0,N/A for summer
HURS_1,Hurst,A8,A,131.124,-79.177,-115.3572557,0.075,9.317,0,0.105,2.757,0,0.057,N/A for summer
HUTT_1,Hutton,R6,R,54.948,18.077,3.581472134,0.16,26.791,3.756,5.61,0.853,0,0.121,N/A for summer
IMPK_1,Imperial Park,H6,H,15.609,11.166,3.686897117,0,0,0,0,0,0,0,N/A for summer
INDQ1,Indian Queens,F6,F,286.769,28.233,15.16096852,30.804,404.643,98.127,0.708,85.376,10.531,0.611,N/A for summer
INKE,Inverkeithing,S5,S,31.875,-1.322,-3.334482628,0.027,3.299,1.626,0,0,0,0.02,N/A for summer
INNE_P,Inverness,T1,T,47.246,-9.342,-13.1059818,0.037,4.567,0.628,9.712,1.454,0,0.028,N/A for summer
IROA1,Iron Acton,G5,G,316.734,-22.317,-59.35410324,16.324,191.657,16.009,0.097,98.723,5.542,0.406,N/A for summer
IRONB1,Ironbridge,L5,L,77.675,-0.661,-4.685576451,3.805,61.155,0.583,0,53.795,1.285,0.11,N/A for summer
ISLI_1,Islington,A7,A,180.39415,45.384,45.384,0,0,0,0,0,0,0,N/A for summer
IVER_1,Iver 132kV,A6,A,175.292,37.967,-26.4500115,3.76,16.083,0.005,0.36,6.386,1.274,0.099,N/A for summer
IVER_6,Iver 66kV,A6,A,81.587,8.959,-13.19681482,0.034,4.254,4.755,0,51.674,0,0.026,N/A for summer
JOHN,Johnstone,S6,S,28.257,1.075,0.017885259,0.019,2.315,1.697,0,0.001,0,0.014,N/A for summer
JORD_3,Jordanthorpe,P3,P,19.186,-4.291,-6.57148387,0.025,3.044,0.02,0,0.001,0,0.019,N/A for summer
KAIM,Kaimes,S6,S,76.405,0.938,-6.50962226,0.078,11.975,31.042,0.475,3.7,0,0.06,N/A for summer
KEAD_1,Keadby,P8,P,199.924,21.245,-17.34544488,0.452,142.018,134.922,0,195.982,0,0.344,N/A for summer
KEAR_1,Kearsley 132kV,N4,N,234.771,113.441,-16.76204714,19.343,43.753,0.533,0.203,75.085,6.67,0.261,N/A for summer
KEAR_3,Kearsley 33kV,N4,N,50.314,10.348,-4.795392128,0,10.71,0,0,22.3,0,0,N/A for summer
KEIT_P,Keith,T1,T,27.48068875,0.152,-0.007198835,0.041,5.079,38.513,2.881,10.719,0,0.031,N/A for summer
KEMS_1,Kemsley,C3,C,97.63,21.634,-4.691824193,0.085,66.795,24.208,0,43.094,0,0.064,N/A for summer
KEOO,Kendoon,S6,S,0,0,-0.002324678,0,0,0,40.2,0,0,0,N/A for summer
KIER,Killermont,S5,S,42.682,9.304,1.653993456,0.02,2.484,0.012,0,6.728,0,0.015,N/A for summer
KIIN_P,Killin,T4,T,2.254,20.015,17.6728321,0.003,0.422,0.013,9.867,10.66,0,0.003,N/A for summer
KILS,Kilmarnock South,S6,S,27.292,6.481,4.035251018,0.023,2.822,15.575,0,1.8,0,0.017,N/A for summer
KILT,Kilmarnock Town,S6,S,44.991,4.279,-0.226319833,0.024,3.014,10.244,0.003,5.842,0,0.018,N/A for summer
KILW,Kilwinning,S6,S,5.62,10.295,3.839759335,0.022,2.693,10.017,0,22,0,0.017,N/A for summer
KINO_1,Kingsnorth,C2,C,93.188,-56.541,-82.47159365,0.096,16.843,0.07,0,38.849,0,0.073,N/A for summer
KINL_P,Kinlochleven,T1,T,0.069,-1.247,-3.634617425,0.001,0.112,0,1.9,0,0,0.001,N/A for summer
KINT_P,Kintore,T2,T,0.1245876,0.441,-0.211622123,0.09,12.922,6.571,0,0.078,0,0.068,N/A for summer
KIBY_1,Kirkby (_D),N1,N,107.844,-16.439,-38.07253934,0.114,16.09,1.102,0,2.634,0,0.086,N/A for summer
KIBY_G,Kirkby (_G),N1,N,31.734,-5.942,-11.09254496,0.106,13.085,0.023,0,0.856,0,0.08,N/A for summer
KIRKB1,Kirkstall B,P1,P,114.526,37.563,-18.90636431,0.096,11.947,2.533,0,18.604,0,0.073,N/A for summer
KITW_1,Kitwell,L2,L,155.431,114.946,-84.14527923,0.127,15.753,0,0,8.38,0,0.097,N/A for summer
KNAR,Knaresborough,P2,P,98.202,0,0,0.096,56.587,15.33,0.387,60.221,0,0.073,N/A for summer
LACK_6,Lackenby,Q2,Q,104.068,21.755,-23.39073947,6.12,19.919,64.857,0,24.982,2.106,0.091,N/A for summer
LAIR_P,Lairg,T5,T,10.917,-2.922,-5.337241279,0.005,0.591,5.822,5.759,0,0,0.004,N/A for summer
LALE1SG003,Laleham,A6,A,145.395,4.728,-50.82946857,0.044,8.462,0,0,46.984,0,0.033,N/A for summer
LAND1,Landulph,F6,F,196.417,-16.335,-26.27566288,6.306,164.634,6.989,4.266,185.17,2.106,0.233,N/A for summer
LEGA_1,Legacy,M4,M,195.414,18.166,7.196394448,0.344,107.899,133.33,1.912,67.551,0,0.261,N/A for summer
LEVE,Leven,S5,S,32.089,41.209,39.72584147,0.027,3.289,15.963,0,20.39,0,0.02,N/A for summer
LINM,Linnmill,S6,S,111.104,18.533,9.206328548,20.061,7.538,105.742,18.462,0,7.021,0.046,N/A for summer
LISD_1,Lister Drive,N1,N,175.053,-60.599,-96.75004752,0.194,27.009,18.02,0,51.345,0,0.147,N/A for summer
LITT_C,Littlebrook (_C),A8,A,67.674,9.6,-6.604427615,8.054,7.715,0.529,0,16.915,2.808,0.041,N/A for summer
LITT_J,Littlebrook (_J),A8,A,3.504,0.407,-0.363938192,0.002,0.207,0,0,14.6,0,0.001,N/A for summer
LING,Livingston East,S6,S,106.671,4.162,-7.788263492,0.037,4.592,60.474,0,2.504,0,0.028,N/A for summer
LODR_6,Lodge Road,A7,A,148.74825,79.552,-24.60539183,0.017,2.089,0,0,17.15,0,0.013,N/A for summer
LOUD_H,Loudwater,A6,A,21.335,4.059,-2.422225309,0.03,3.775,0.006,0,1.33,0,0.023,N/A for summer
LOVE_1,Lovedean,B2,B,305.057,-93.497,-157.9126211,40.523,246.43,16.173,0.017,71.692,14.041,0.398,N/A for summer
LUNA_P,Lunanhead,T4,T,13.221,1.237,-0.315969023,9.94,14.174,5.313,1.608,3.52,3.475,0.03,N/A for summer
LYND_P,Lyndhurst,T4,T,9.196,-1.066,-1.65427173,0.011,1.376,1.678,0.196,0.078,0,0.008,N/A for summer
MACC_3,Macclesfield,N6,N,39.589,-2.645,-2.645,20.05,6.217,0.052,0.013,41.028,7.021,0.038,N/A for summer
MACD_P,Macduff,T1,T,0.089,-17.331,-17.73039357,0.04,4.979,46.753,0,0.842,0,0.031,N/A for summer
MANN_1,Mannington,E1,E,320.025,-44.026,-68.07929886,0.977,419.896,4.923,0.127,51.83,0.105,0.515,N/A for summer
MAGA_6,Margam,H1,H,91.796,51.43,50.68221222,0.011,1.404,108.4,0.015,12.75,0,0.009,N/A for summer
MAYB,Maybole,S6,S,61.11,3.41,-0.56436095,0.014,1.794,2.18,1.035,17.331,0,0.011,N/A for summer
MELK_1,Melksham,G6,G,244.308,6.313,-14.75269593,124.244,529.171,12.027,0.499,79.301,43.436,0.383,N/A for summer
MILH_1,Mill Hill,A6,A,103.191,-46.961,-77.71193456,0.038,4.77,0.005,0.523,3.563,0,0.029,N/A for summer
MILC_P,Milton of Craigie,T4,T,21.209,-1.129,-1.303748148,0.032,4.028,6.123,1.204,9.501,0,0.025,N/A for summer
MITY_1,Minety,G6,G,305.103,0.873,-15.5353943,140.216,377.929,11.335,3.809,4.712,49.144,0.164,N/A for summer
MYBS_P,Mybster,T5,T,14.625,0.12,-0.675013898,0,0,22.09,0,0,0,0,N/A for summer
NAIR_P,Nairn,T1,T,16.812,5.807,2.495478045,0.031,3.818,1.987,0.107,0.975,0,0.023,N/A for summer
NECE_1,Nechells,L3,L,165.634,60.285,-27.76319718,0.22,27.252,0,0,127.541,0,0.167,N/A for summer
